         34494671 function calls (33854319 primitive calls) in 189.493 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   800010    4.700    0.000    4.700    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
  1400040    4.080    0.000    4.080    0.000 {built-in method cat}
  1600050    2.943    0.000    4.079    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:352(__iter__)
    80040    0.114    0.000    4.068    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/pooling.py:139(forward)
    80040    0.081    0.000    3.954    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:353(max_pool2d)
    80040    3.873    0.000    3.873    0.000 {built-in method torch._C._nn.max_pool2d}
  1600040    3.315    0.000    3.315    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    3.057    1.529 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:241(load)
        2    0.000    0.000    3.057    1.529 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:309(_load)
        2    0.000    0.000    3.002    1.501 {method 'load' of '_pickle.Unpickler' objects}
       26    0.000    0.000    3.001    0.115 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:423(persistent_load)
       26    0.000    0.000    3.001    0.115 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:86(default_restore_location)
       24    0.000    0.000    3.001    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:67(_cuda_deserialize)
       24    0.001    0.000    3.001    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:45(_cuda)
       24    0.000    0.000    2.998    0.125 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:222(__enter__)
       26    0.000    0.000    2.972    0.114 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:146(_lazy_init)
        1    2.972    2.972    2.972    2.972 {built-in method torch._C._cuda_init}
  1600050    2.751    0.000    2.751    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:361(<lambda>)
   840070    2.612    0.000    2.612    0.000 {method 'type' of 'torch._C._TensorBase' objects}
    80040    0.158    0.000    2.503    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:54(forward)
    80040    0.133    0.000    2.298    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:979(linear)
   440060    2.134    0.000    2.134    0.000 {built-in method max}
    80040    1.927    0.000    1.927    0.000 {built-in method addmm}
    80040    0.083    0.000    1.539    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/activation.py:45(forward)
    80040    0.073    0.000    1.456    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:594(threshold)
    80040    1.383    0.000    1.383    0.000 {built-in method torch._C._nn.threshold}
   200000    0.685    0.000    1.032    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:319(__rdiv__)
  2440152    0.965    0.000    0.965    0.000 {method 'size' of 'torch._C._TensorBase' objects}
    40020    0.040    0.000    0.636    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/dropout.py:52(forward)
   200000    0.617    0.000    0.617    0.000 {built-in method randint_like}
    40020    0.050    0.000    0.596    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:551(dropout)
    40020    0.476    0.000    0.546    0.000 {built-in method apply}
   200000    0.456    0.000    0.456    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
       42    0.000    0.000    0.412    0.010 /home/jason/safe-debates/agent.py:84(reset_)
       42    0.412    0.010    0.412    0.010 {built-in method gc.collect}
    40020    0.116    0.000    0.367    0.000 /home/jason/safe-debates/judge.py:28(flatten)
   200000    0.347    0.000    0.347    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
1886754/1886753    0.332    0.000    0.332    0.000 {built-in method builtins.len}
  1680091    0.327    0.000    0.327    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
   520288    0.326    0.000    0.326    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:518(__getattr__)
1600053/1600051    0.276    0.000    0.296    0.000 {built-in method builtins.iter}
    80040    0.220    0.000    0.220    0.000 {method 't' of 'torch._C._TensorBase' objects}
    40040    0.074    0.000    0.173    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:897(__iter__)
  1040532    0.115    0.000    0.115    0.000 {method 'values' of 'collections.OrderedDict' objects}
    40020    0.069    0.000    0.069    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/_functions/dropout.py:18(forward)
       24    0.052    0.002    0.052    0.002 {method '_set_from_file' of 'torch._C.CudaFloatStorageBase' objects}
     1880    0.005    0.000    0.051    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:881(__repr__)
     1880    0.020    0.000    0.046    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:197(format_meter)
        1    0.000    0.000    0.044    0.044 /home/jason/safe-debates/debate.py:9(__init__)
        1    0.000    0.000    0.044    0.044 /home/jason/safe-debates/debate.py:60(reset_)
     1880    0.004    0.000    0.030    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:190(print_status)
       24    0.026    0.001    0.026    0.001 {built-in method torch._C._cuda_getDevice}
     1880    0.002    0.000    0.025    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:184(fp_write)
     1960    0.022    0.000    0.022    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.019    0.019 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:450(__iter__)
        1    0.000    0.000    0.019    0.019 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:189(__init__)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/process.py:95(start)
    11197    0.015    0.000    0.015    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:221(_Popen)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:274(_Popen)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
        1    0.015    0.015    0.015    0.015 {built-in method posix.fork}
     3720    0.005    0.000    0.013    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:153(format_interval)
    32/22    0.000    0.000    0.011    0.001 {built-in method builtins.next}
       10    0.000    0.000    0.011    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:261(__next__)
       11    0.000    0.000    0.010    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/queues.py:333(get)
       10    0.000    0.000    0.010    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:252(_get_batch)
       11    0.000    0.000    0.010    0.001 {built-in method _pickle.loads}
        1    0.000    0.000    0.008    0.008 /home/jason/safe-debates/judge.py:11(__init__)
       21    0.000    0.000    0.008    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/multiprocessing/reductions.py:66(rebuild_storage_fd)
       80    0.001    0.000    0.008    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:1072(close)
       21    0.000    0.000    0.007    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/resource_sharer.py:55(detach)
        8    0.007    0.001    0.007    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.007    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:37(__init__)
        2    0.000    0.000    0.007    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:48(reset_parameters)
     2000    0.001    0.000    0.007    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:105(__enter__)
       21    0.000    0.000    0.006    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/resource_sharer.py:82(get_connection)
       40    0.000    0.000    0.006    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:401(__new__)
     2000    0.001    0.000    0.006    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:108(__exit__)
       40    0.000    0.000    0.006    0.000 /home/jason/safe-debates/agent.py:46(choose_moves)
       40    0.001    0.000    0.006    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:638(__init__)
       21    0.000    0.000    0.005    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:478(Client)
     2000    0.003    0.000    0.005    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:97(acquire)
       40    0.000    0.000    0.005    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_monitor.py:31(__init__)
     2000    0.004    0.000    0.005    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:101(release)
       40    0.001    0.000    0.004    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:431(_decr_instances)
       40    0.000    0.000    0.004    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:828(start)
        1    0.000    0.000    0.003    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torchvision-0.2.1-py3.6.egg/torchvision/datasets/mnist.py:39(__init__)
    52/50    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:966(_find_and_load)
       20    0.000    0.000    0.003    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:729(answer_challenge)
       71    0.000    0.000    0.003    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
       71    0.000    0.000    0.003    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
        1    0.003    0.003    0.003    0.003 {method '_set_from_file' of 'torch._C.ByteStorageBase' objects}
       12    0.000    0.000    0.003    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:293(_put_indices)
      241    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
     8308    0.003    0.000    0.003    0.000 {built-in method time.time}
      142    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:374(_recv)
       40    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_monitor.py:48(exit)
       46    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:97(_rebuild_tensor_v2)
       46    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:90(_rebuild_tensor)
     9320    0.002    0.000    0.002    0.000 {built-in method builtins.divmod}
     5704    0.002    0.000    0.002    0.000 {built-in method builtins.max}
       40    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:533(wait)
      142    0.002    0.000    0.002    0.000 {built-in method posix.read}
       24    0.002    0.000    0.002    0.000 {method 'copy_' of 'torch._C.CudaFloatStorageBase' objects}
       34    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/reduction.py:48(dumps)
       14    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/queues.py:339(put)
       40    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:263(wait)
      6/4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       40    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_utils.py:215(_environ_cols_linux)
       34    0.002    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/reduction.py:38(__init__)
     2000    0.002    0.000    0.002    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      5/4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:651(_load_unlocked)
        2    0.000    0.000    0.001    0.001 /home/jason/safe-debates/judge.py:19(conv_block)
       46    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/importlib/__init__.py:108(import_module)
        2    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:109(SimpleQueue)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:1024(join)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(_gcd_import)
     3147    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
       20    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:716(deliver_challenge)
        1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:202(<listcomp>)
       40    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
      8/6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        2    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:289(__init__)
      206    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/_weakrefset.py:58(__iter__)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:1062(_wait_for_tstate_lock)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:757(__init__)
       20    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/reduction.py:179(recv_handle)
      3/2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:672(exec_module)
  156/153    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     1882    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       21    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:607(SocketClient)
        1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:676(load_state_dict)
     12/1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:699(load)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:424(_get_free_pos)
       41    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:512(set)
       74    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:181(send_bytes)
       12    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:619(_load_from_state_dict)
      3/2    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
     2000    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       20    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/reduction.py:149(recvfds)
        1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/queues.py:10(<module>)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/hmac.py:133(new)
       13    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/sampler.py:136(__iter__)
       10    0.000    0.000    0.001    0.000 /home/jason/safe-debates/utilities.py:49(track_stats_)
       10    0.000    0.000    0.001    0.000 /home/jason/safe-debates/utilities.py:56(track_stats_without)
       40    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/hmac.py:26(__init__)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        8    0.001    0.000    0.001    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     2000    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       94    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:390(_send_bytes)
      623    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:12(__init__)
        1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/sampler.py:50(__iter__)
       81    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:498(__init__)
       20    0.001    0.000    0.001    0.000 {method 'recvmsg' of '_socket.socket' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       41    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:357(notify_all)
       10    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/utils.py:6(parse)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       20    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:202(send)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/_weakrefset.py:106(remove)
       10    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/abc.py:180(__instancecheck__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:743(get_code)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     32/1    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/abc.py:196(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      292    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       40    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
       41    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:334(notify)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:919(create_module)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       10    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:303(_process_next_batch)
       81    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:215(__init__)
      191    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:40(reset_parameters)
     46/3    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       94    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:365(_send)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:427(<genexpr>)
      163    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:534(__setattr__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     2000    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       46    0.000    0.000    0.000    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
       80    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:1091(fp_write)
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/queues.py:313(__init__)
        1    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:347(__del__)
        1    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:318(_shutdown_workers)
       94    0.000    0.000    0.000    0.000 {built-in method posix.write}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      151    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/_weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:10(<module>)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:1112(<listcomp>)
        4    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:64(Lock)
      112    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/_weakrefset.py:81(add)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/synchronize.py:162(__init__)
        4    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
       12    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:62(__init__)
       21    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
       41    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/socket.py:139(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method randperm}
      286    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       80    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/hmac.py:52(<lambda>)
      151    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/_weakrefset.py:20(__enter__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       81    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:1230(current_thread)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/serialization.py:369(legacy_load)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_utils.py:129(__eq__)
       10    0.000    0.000    0.000    0.000 {built-in method zeros_like}
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/container.py:45(__init__)
      120    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/tarfile.py:1520(open)
       20    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/connection.py:262(__exit__)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/hmac.py:117(digest)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_utils.py:156(_supports_unicode)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/tarfile.py:1611(taropen)
        2    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/tarfile.py:1409(__init__)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       40    0.000    0.000    0.000    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/multiprocessing/reductions.py:51(fd_id)
