         34494671 function calls (33854319 primitive calls) in 189.493 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  189.492  189.492 main.py:15(main)
       10    0.001    0.000  186.380   18.638 /home/jason/safe-debates/debate.py:28(play)
       40    0.139    0.003  185.963    4.649 /home/jason/safe-debates/agent.py:38(simulate_)
240000/40000   15.936    0.000  185.633    0.005 /home/jason/safe-debates/agent.py:19(rollout_)
  1400040    3.000    0.000  105.788    0.000 /home/jason/safe-debates/utilities.py:13(__getitem__)
  1400040   12.880    0.000   95.228    0.000 /home/jason/safe-debates/utilities.py:14(<listcomp>)
  1400040    8.791    0.000   44.896    0.000 /home/jason/safe-debates/utilities.py:27(_to_tuple)
  1400040   25.595    0.000   32.118    0.000 {function BatchDict.__getitem__ at 0x7fa4af285ae8}
   200000    6.168    0.000   29.110    0.000 /home/jason/safe-debates/agent.py:56(calculate_UCT)
  1400051   26.079    0.000   26.079    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
    40020    0.375    0.000   20.899    0.001 /home/jason/safe-debates/debate.py:46(evaluate)
480240/40020    1.256    0.000   20.075    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:485(__call__)
    40020    0.597    0.000   19.914    0.000 /home/jason/safe-debates/judge.py:37(forward)
    80040    0.319    0.000   14.886    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/container.py:89(forward)
   200040   11.469    0.000   11.570    0.000 /home/jason/safe-debates/agent.py:71(apply_action)
   200000    5.900    0.000   10.003    0.000 /home/jason/safe-debates/agent.py:62(break_ties)
    80040    0.220    0.000    8.242    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:299(forward)
    80040    7.965    0.000    7.965    0.000 {built-in method conv2d}
  1600040    7.683    0.000    7.683    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
  1400040    1.319    0.000    6.523    0.000 /home/jason/safe-debates/utilities.py:21(__missing__)
   200040    4.626    0.000    5.296    0.000 /home/jason/safe-debates/agent.py:51(get_valid_actions)
  1400040    4.937    0.000    4.937    0.000 {built-in method zeros}
  1880120    4.763    0.000    4.763    0.000 {method 'view' of 'torch._C._TensorBase' objects}
