         4238724021 function calls (4238083876 primitive calls) in 30502.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40002    0.117    0.000    1.169    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:551(dropout)
    40002    0.927    0.000    1.052    0.000 {built-in method apply}
   200000    0.973    0.000    0.973    0.000 {built-in method randint_like}
   200000    0.920    0.000    0.920    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
    40004    0.116    0.000    0.816    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:190(print_status)
    40002    0.240    0.000    0.696    0.000 /home/jason/safe-debates/judge.py:28(flatten)
    40004    0.078    0.000    0.684    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:184(fp_write)
   520054    0.675    0.000    0.675    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:518(__getattr__)
    40012    0.584    0.000    0.584    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   200000    0.530    0.000    0.530    0.000 {method 'reciprocal' of 'torch._C._TensorBase' objects}
   240040    0.438    0.000    0.438    0.000 {method 'format' of 'str' objects}
    80004    0.159    0.000    0.409    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:153(format_interval)
    80004    0.358    0.000    0.358    0.000 {method 't' of 'torch._C._TensorBase' objects}
    40020    0.055    0.000    0.234    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:105(__enter__)
  1040064    0.196    0.000    0.196    0.000 {method 'values' of 'collections.OrderedDict' objects}
    40020    0.111    0.000    0.179    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:97(acquire)
    40020    0.048    0.000    0.160    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:108(__exit__)
    40002    0.125    0.000    0.125    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/_functions/dropout.py:18(forward)
    40020    0.091    0.000    0.112    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:101(release)
        6    0.000    0.000    0.079    0.013 /home/jason/safe-debates/agent.py:84(reset_)
        6    0.079    0.013    0.079    0.013 {built-in method gc.collect}
       24    0.055    0.002    0.055    0.002 {method '_set_from_file' of 'torch._C.CudaFloatStorageBase' objects}
   200012    0.054    0.000    0.054    0.000 {built-in method builtins.divmod}
   120040    0.050    0.000    0.050    0.000 {built-in method builtins.max}
    40020    0.044    0.000    0.044    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.043    0.043 /home/jason/safe-debates/debate.py:9(__init__)
        1    0.000    0.000    0.043    0.043 /home/jason/safe-debates/debate.py:60(reset_)
       24    0.038    0.002    0.038    0.002 {built-in method torch._C._cuda_getDevice}
    75006    0.035    0.000    0.035    0.000 {built-in method builtins.chr}
   120005    0.032    0.000    0.032    0.000 {built-in method time.time}
    40020    0.024    0.000    0.024    0.000 {method 'acquire' of '_thread.RLock' objects}
    40006    0.023    0.000    0.023    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.017    0.017 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:450(__iter__)
        1    0.000    0.000    0.017    0.017 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:189(__init__)
        1    0.000    0.000    0.013    0.013 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/process.py:95(start)
        1    0.000    0.000    0.013    0.013 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:221(_Popen)
        1    0.000    0.000    0.013    0.013 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:274(_Popen)
        1    0.000    0.000    0.013    0.013 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
        1    0.000    0.000    0.013    0.013 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
        1    0.013    0.013    0.013    0.013 {built-in method posix.fork}
    40020    0.013    0.000    0.013    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.009    0.002 /home/jason/safe-debates/agent.py:46(choose_moves)
        1    0.000    0.000    0.008    0.008 /home/jason/safe-debates/judge.py:11(__init__)
    40020    0.008    0.000    0.008    0.000 {method 'release' of '_thread.RLock' objects}
        8    0.007    0.001    0.007    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.007    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:37(__init__)
        2    0.000    0.000    0.007    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:48(reset_parameters)
        1    0.000    0.000    0.003    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torchvision-0.2.1-py3.6.egg/torchvision/datasets/mnist.py:39(__init__)
    34/32    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:966(_find_and_load)
        1    0.003    0.003    0.003    0.003 {method '_set_from_file' of 'torch._C.ByteStorageBase' objects}
        3    0.000    0.000    0.002    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:293(_put_indices)
    14/13    0.000    0.000    0.002    0.000 {built-in method builtins.next}
