         112679140 function calls (112614995 primitive calls) in 1146.456 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4004    0.042    0.000    0.098    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:197(format_meter)
     4002    0.005    0.000    0.072    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/dropout.py:52(forward)
     4002    0.005    0.000    0.068    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:551(dropout)
     4004    0.009    0.000    0.063    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:190(print_status)
     4002    0.056    0.000    0.063    0.000 {built-in method apply}
        6    0.000    0.000    0.062    0.010 /home/jason/safe-debates/agent.py:84(reset_)
        6    0.062    0.010    0.062    0.010 {built-in method gc.collect}
     4004    0.005    0.000    0.053    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:184(fp_write)
       24    0.052    0.002    0.052    0.002 {method '_set_from_file' of 'torch._C.CudaFloatStorageBase' objects}
     4012    0.046    0.000    0.046    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     4002    0.013    0.000    0.044    0.000 /home/jason/safe-debates/judge.py:28(flatten)
        1    0.000    0.000    0.042    0.042 /home/jason/safe-debates/debate.py:9(__init__)
        1    0.000    0.000    0.042    0.042 /home/jason/safe-debates/debate.py:60(reset_)
    52054    0.034    0.000    0.034    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:518(__getattr__)
    24040    0.033    0.000    0.033    0.000 {method 'format' of 'str' objects}
     8004    0.030    0.000    0.030    0.000 {method 't' of 'torch._C._TensorBase' objects}
     8004    0.011    0.000    0.029    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:153(format_interval)
        5    0.000    0.000    0.026    0.005 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/cuda/__init__.py:44(is_available)
        6    0.026    0.004    0.026    0.004 {built-in method torch._C._cuda_isDriverSufficient}
        1    0.000    0.000    0.019    0.019 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:450(__iter__)
        1    0.000    0.000    0.019    0.019 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:189(__init__)
        1    0.000    0.000    0.016    0.016 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/process.py:95(start)
        1    0.000    0.000    0.016    0.016 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:221(_Popen)
        1    0.000    0.000    0.016    0.016 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:274(_Popen)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
        1    0.000    0.000    0.015    0.015 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
    14/13    0.000    0.000    0.015    0.001 {built-in method builtins.next}
     4020    0.003    0.000    0.015    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:105(__enter__)
        1    0.015    0.015    0.015    0.015 {built-in method posix.fork}
       34    0.015    0.000    0.015    0.000 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    0.015    0.002 /home/jason/anaconda3/envs/debate/lib/python3.6/threading.py:263(wait)
        1    0.000    0.000    0.014    0.014 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:261(__next__)
        1    0.000    0.000    0.014    0.014 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:252(_get_batch)
        1    0.000    0.000    0.014    0.014 /home/jason/anaconda3/envs/debate/lib/python3.6/queue.py:147(get)
   104064    0.014    0.000    0.014    0.000 {method 'values' of 'collections.OrderedDict' objects}
     4020    0.004    0.000    0.013    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:108(__exit__)
     4020    0.006    0.000    0.012    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:97(acquire)
     4020    0.007    0.000    0.009    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:101(release)
        1    0.000    0.000    0.008    0.008 /home/jason/safe-debates/judge.py:11(__init__)
        8    0.007    0.001    0.007    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.007    0.004 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:37(__init__)
     4002    0.007    0.000    0.007    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/_functions/dropout.py:18(forward)
        2    0.000    0.000    0.007    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:48(reset_parameters)
        1    0.000    0.000    0.005    0.005 /home/jason/safe-debates/utilities.py:49(track_stats_)
        1    0.001    0.001    0.005    0.005 /home/jason/safe-debates/utilities.py:56(track_stats_without)
        4    0.000    0.000    0.005    0.001 /home/jason/safe-debates/agent.py:46(choose_moves)
    12040    0.005    0.000    0.005    0.000 {built-in method builtins.max}
    20012    0.004    0.000    0.004    0.000 {built-in method builtins.divmod}
    32/30    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:966(_find_and_load)
     4020    0.004    0.000    0.004    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.003    0.003 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torchvision-0.2.1-py3.6.egg/torchvision/datasets/mnist.py:39(__init__)
      6/4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     7524    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
    12006    0.003    0.000    0.003    0.000 {built-in method time.time}
        1    0.003    0.003    0.003    0.003 {method '_set_from_file' of 'torch._C.ByteStorageBase' objects}
      5/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:651(_load_unlocked)
       24    0.002    0.000    0.002    0.000 {method 'copy_' of 'torch._C.CudaFloatStorageBase' objects}
        4    0.000    0.000    0.002    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:638(__init__)
     4020    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:672(exec_module)
     4006    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.002    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_utils.py:215(_environ_cols_linux)
        2    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/multiprocessing/context.py:109(SimpleQueue)
      8/6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        2    0.000    0.000    0.001    0.001 /home/jason/safe-debates/judge.py:19(conv_block)
        1    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:202(<listcomp>)
       61    0.001    0.000    0.001    0.000 {method 'item' of 'torch._C._TensorBase' objects}
       26    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:97(_rebuild_tensor_v2)
       26    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/_utils.py:90(_rebuild_tensor)
        2    0.000    0.000    0.001    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:289(__init__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        4    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/tqdm/_tqdm.py:401(__new__)
        3    0.000    0.000    0.001    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/utils/data/dataloader.py:293(_put_indices)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
