         689719131 function calls (676918549 primitive calls) in 4674.759 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 4674.759 4674.759 main.py:15(main)
       20    0.002    0.000 4671.312  233.566 /home/jason/safe-debates/debate.py:28(play)
       80    3.368    0.042 4670.350   58.379 /home/jason/safe-debates/agent.py:38(simulate_)
4800000/800000  388.494    0.000 4661.457    0.006 /home/jason/safe-debates/agent.py:19(rollout_)
 28000080   71.569    0.000 2710.518    0.000 /home/jason/safe-debates/utilities.py:13(__getitem__)
 28000080  336.767    0.000 2455.390    0.000 /home/jason/safe-debates/utilities.py:14(<listcomp>)
 28000080  199.504    0.000 1152.874    0.000 /home/jason/safe-debates/utilities.py:27(_to_tuple)
 28000080  672.491    0.000  833.437    0.000 {function BatchDict.__getitem__ at 0x7f94460dfae8}
  4000000  149.019    0.000  718.781    0.000 /home/jason/safe-debates/agent.py:56(calculate_UCT)
 28000101  700.765    0.000  700.765    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
   800040    8.265    0.000  529.314    0.001 /home/jason/safe-debates/debate.py:46(evaluate)
9600480/800040   29.771    0.000  510.957    0.001 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/module.py:485(__call__)
   800040   13.577    0.000  507.228    0.001 /home/jason/safe-debates/judge.py:37(forward)
  1600080    7.539    0.000  379.618    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/container.py:89(forward)
  4000080  280.833    0.000  283.166    0.000 /home/jason/safe-debates/agent.py:71(apply_action)
  4000000  140.462    0.000  236.496    0.000 /home/jason/safe-debates/agent.py:62(break_ties)
  1600080    5.067    0.000  210.189    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/conv.py:299(forward)
  1600080  203.663    0.000  203.663    0.000 {built-in method conv2d}
 32000080  193.881    0.000  193.881    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
 28000080   32.090    0.000  160.945    0.000 /home/jason/safe-debates/utilities.py:21(__missing__)
  4000080  110.972    0.000  126.887    0.000 /home/jason/safe-debates/agent.py:51(get_valid_actions)
 28000080  122.158    0.000  122.158    0.000 {built-in method zeros}
 37600240  117.119    0.000  117.119    0.000 {method 'view' of 'torch._C._TensorBase' objects}
 16000020  111.008    0.000  111.008    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
  1600080    2.841    0.000  106.783    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/pooling.py:139(forward)
  1600080    1.776    0.000  103.942    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/functional.py:353(max_pool2d)
  1600080  102.166    0.000  102.166    0.000 {built-in method torch._C._nn.max_pool2d}
 28000080   99.808    0.000   99.808    0.000 {built-in method cat}
 32000100   71.577    0.000   97.925    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/tensor.py:352(__iter__)
 32000080   82.066    0.000   82.066    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
  1600080    4.173    0.000   68.367    0.000 /home/jason/anaconda3/envs/debate/lib/python3.6/site-packages/torch/nn/modules/linear.py:54(forward)
